,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
981,1.0,data1,Mental health,E07000033,Bolsover,94.09164,94.72275,95.32583,98.66645,95.85532,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.763680000000008,-2.8111299999999915
995,1.0,data1,Mental health,E07000034,Chesterfield,84.9544,83.69877,89.09564,88.50691,86.66164,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.7072399999999988,-1.8452699999999993
1009,1.0,data1,Mental health,E07000035,the Derbyshire Dales,105.759,104.1673,106.6147,104.1677,102.105,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-3.6539999999999964,-2.0626999999999924
1023,1.0,data1,Mental health,E07000036,Erewash,99.72287,100.067,102.2443,101.389,98.9591,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-0.7637699999999938,-2.4298999999999893
1037,1.0,data1,Mental health,E07000037,High Peak,101.4114,103.4186,104.5925,102.6125,98.46167,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-2.9497300000000024,-4.150829999999999
1051,1.0,data1,Mental health,E07000038,North East Derbyshire,100.2402,102.3931,102.2585,103.5688,99.3316,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-0.908600000000007,-4.237200000000001
1065,1.0,data1,Mental health,E07000039,South Derbyshire,106.613,102.1245,103.7429,101.196,103.077,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-3.5360000000000014,1.8810000000000002
1079,1.0,data1,Mental health,E07000040,East Devon,99.17551,99.45379,102.2224,101.2883,97.82251,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.3530000000000086,-3.4657900000000126
1093,1.0,data1,Mental health,E07000041,Exeter,88.321,88.972,89.03841,86.09251,83.75867,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-4.562330000000003,-2.3338400000000092
1107,1.0,data1,Mental health,E07000042,Mid Devon,105.7907,102.5646,103.2604,98.91658,93.78131,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-12.009389999999996,-5.135269999999991
1121,1.0,data1,Mental health,E07000043,North Devon,89.60068,87.17238,87.44413,89.4658,90.72612,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,1.1254399999999976,1.260319999999993
1135,1.0,data1,Mental health,E07000044,South Hams,102.6053,106.2381,102.2182,103.8439,102.962,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.35670000000000357,-0.8819000000000017
1149,1.0,data1,Mental health,E07000045,Teignbridge,97.43724,97.15828,95.07165,91.11903,90.42799,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-7.009250000000009,-0.691040000000001
1163,1.0,data1,Mental health,E07000046,Torridge,90.06413,85.12778,90.42408,89.25567,88.05244,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-2.0116900000000015,-1.2032299999999907
1177,1.0,data1,Mental health,E07000047,West Devon,104.8949,98.93352,98.29884,103.4535,95.78187,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-9.113030000000009,-7.6716300000000075
1191,1.0,data1,Mental health,E07000061,Eastbourne,96.68428,95.75991,95.10002,93.12887,91.92382,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-4.760459999999995,-1.20505
1205,1.0,data1,Mental health,E07000062,Hastings,88.31784,94.27523,89.29239,84.39358,81.88232,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-6.435519999999997,-2.511259999999993
1219,1.0,data1,Mental health,E07000063,Lewes,93.73718,96.1896,96.04522,91.95583,91.15917,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-2.578009999999992,-0.7966600000000028
1233,1.0,data1,Mental health,E07000064,Rother,102.413,102.6657,96.15588,94.0565,94.43636,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-7.976640000000003,0.37985999999999365
1247,1.0,data1,Mental health,E07000065,Wealden,103.6063,100.4968,101.9519,101.4461,100.6131,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-2.9932000000000016,-0.8329999999999984
1261,1.0,data1,Mental health,E07000066,Basildon,109.1945,106.219,100.002,96.91079,97.28722,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-11.90728,0.37642999999999915
1275,1.0,data1,Mental health,E07000067,Braintree,98.63831,101.1135,101.0908,101.9311,98.28171,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.35660000000000025,-3.649389999999997
1289,1.0,data1,Mental health,E07000068,Brentwood,116.9866,119.1349,116.6255,113.2703,107.6609,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-9.325699999999998,-5.609400000000008
1303,1.0,data1,Mental health,E07000069,Castle Point,111.7229,111.1425,108.2811,108.0415,109.1155,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-2.6073999999999984,1.073999999999998
1317,1.0,data1,Mental health,E07000070,Chelmsford,107.0895,108.203,103.0671,99.77659,96.71644,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-10.373059999999995,-3.060149999999993
1331,1.0,data1,Mental health,E07000071,Colchester,92.49778,92.87701,95.21076,93.88428,89.91995,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-2.577830000000006,-3.964330000000004
1345,1.0,data1,Mental health,E07000072,Epping Forest,113.7216,114.7413,116.7566,113.5604,115.2119,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,1.4903000000000048,1.6514999999999986
1359,1.0,data1,Mental health,E07000073,Harlow,100.984,97.61488,97.54812,90.40686,90.60178,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-10.38221999999999,0.19492000000001042
1373,1.0,data1,Mental health,E07000074,Maldon,110.8748,101.7772,100.9416,96.8257,102.2937,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-8.581099999999992,5.4680000000000035
1387,1.0,data1,Mental health,E07000075,Rochford,109.7135,109.3961,110.598,110.0636,109.498,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.2154999999999916,-0.5655999999999892
1401,1.0,data1,Mental health,E07000076,Tendring,87.47793,87.33595,89.10357,88.06053,87.07892,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.3990100000000041,-0.9816100000000034
1415,1.0,data1,Mental health,E07000077,Uttlesford,106.1973,107.0727,109.8441,108.1536,107.8456,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,1.648300000000006,-0.3079999999999927
1429,1.0,data1,Mental health,E07000078,Cheltenham,97.70119,100.0908,99.74722,98.13807,96.55901,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.1421799999999962,-1.5790599999999984
1443,1.0,data1,Mental health,E07000079,Cotswold,105.1886,101.9338,103.84,102.2494,101.9763,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-3.212299999999999,-0.27309999999999945
1457,1.0,data1,Mental health,E07000080,Forest of Dean,98.68935,102.4962,102.9272,100.3055,98.07302,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.6163300000000049,-2.2324799999999954
1471,1.0,data1,Mental health,E07000081,Gloucester,92.06211,91.12422,93.72018,92.30237,97.08134,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,5.019229999999993,4.778970000000001
1485,1.0,data1,Mental health,E07000082,Stroud,98.38071,100.5309,101.9046,98.25953,100.1239,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,1.7431900000000127,1.864370000000008
1499,1.0,data1,Mental health,E07000083,Tewkesbury,103.0177,113.3255,110.4347,107.0826,104.8742,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,1.856499999999997,-2.2083999999999975
1513,1.0,data1,Mental health,E07000084,Basingstoke and Deane,101.8565,103.0927,103.9582,102.6362,103.7172,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,1.8607000000000085,1.081000000000003
1527,1.0,data1,Mental health,E07000085,East Hampshire,104.6841,105.4676,107.8972,104.1647,100.7857,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-3.898399999999995,-3.3789999999999907
1541,1.0,data1,Mental health,E07000086,Eastleigh,111.2071,108.1454,107.129,98.93967,99.07983,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-12.127269999999996,0.1401599999999945
1555,1.0,data1,Mental health,E07000087,Fareham,104.2561,109.1786,104.3184,102.11,100.235,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-4.021100000000004,-1.875
1569,1.0,data1,Mental health,E07000088,Gosport,95.71484,96.97697,94.08414,93.03159,91.59416,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-4.120679999999993,-1.437429999999992
1583,1.0,data1,Mental health,E07000089,Hart,108.9691,106.1865,110.3533,111.1072,112.5206,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,3.5515000000000043,1.4133999999999958
1597,1.0,data1,Mental health,E07000090,Havant,93.73653,96.01672,96.21815,91.45538,91.14444,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-2.592089999999999,-0.3109400000000022
1611,1.0,data1,Mental health,E07000091,New Forest,100.1166,102.1384,104.2163,103.1373,97.87012,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-2.2464800000000054,-5.267179999999996
1625,1.0,data1,Mental health,E07000092,Rushmoor,97.71683,97.70283,98.37298,95.94168,98.36582,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.6489899999999977,2.424139999999994
1639,1.0,data1,Mental health,E07000093,Test Valley,101.3574,102.1794,99.78413,104.9565,102.3695,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,1.0121000000000038,-2.5870000000000033
1653,1.0,data1,Mental health,E07000094,Winchester,106.647,107.0003,108.3906,102.2258,99.79044,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-6.856560000000002,-2.435360000000003
1667,1.0,data1,Mental health,E07000095,Broxbourne,110.1501,110.6522,110.6245,105.1708,105.2736,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-4.876499999999993,0.102800000000002
1681,1.0,data1,Mental health,E07000096,Dacorum,109.2548,108.0115,107.682,106.2213,102.206,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-7.0488,-4.015299999999996
1695,1.0,data1,Mental health,E07000098,Hertsmere,110.2746,108.2455,105.4178,104.3275,98.9693,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-11.305300000000003,-5.3581999999999965
1709,1.0,data1,Mental health,E07000099,North Hertfordshire,108.8631,107.5038,106.3495,103.4611,103.5762,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-5.286900000000003,0.1150999999999982
1723,1.0,data1,Mental health,E07000102,Three Rivers,117.9226,114.4126,113.6446,110.2173,110.7378,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-7.18480000000001,0.5204999999999984
1737,1.0,data1,Mental health,E07000103,Watford,113.3405,111.7334,109.5393,107.6623,107.4659,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-5.874600000000001,-0.19639999999999702
