,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
3357,11.0,data11,Crime,E08000001,Bolton,97.00436,94.30128,91.07624,89.20848,89.20848,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-7.795880000000011,0.0
3371,11.0,data11,Crime,E08000002,Bury,99.17961,92.50917,93.21463,94.22521,94.22521,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-4.954399999999993,0.0
3385,11.0,data11,Crime,E08000003,Manchester,84.74748,82.3673,80.42298,81.57244,81.57244,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-3.1750399999999956,0.0
3399,11.0,data11,Crime,E08000004,Oldham,95.01581,91.71134,89.62171,90.15981,90.15981,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-4.856000000000009,0.0
3413,11.0,data11,Crime,E08000005,Rochdale,95.39611,92.74995,92.2514,91.27085,91.27085,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-4.125259999999997,0.0
3427,11.0,data11,Crime,E08000006,Salford,98.1438,95.1851,92.05333,91.42905,91.42905,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-6.714749999999995,0.0
3441,11.0,data11,Crime,E08000007,Stockport,98.41077,96.104,94.48171,97.43442,97.43442,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.9763499999999965,0.0
3455,11.0,data11,Crime,E08000008,Tameside,96.8706,94.1854,92.97481,91.86251,91.86251,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-5.008089999999996,0.0
3469,11.0,data11,Crime,E08000009,Trafford,99.41654,97.54428,95.96115,95.71129,95.71129,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-3.7052499999999924,0.0
3483,11.0,data11,Crime,E08000010,Wigan,99.33378,97.22705,95.43275,94.80483,94.80483,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-4.528950000000009,0.0
3497,11.0,data11,Crime,E08000011,Knowsley,102.3859,100.7343,100.8037,101.3755,103.3398,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,0.9538999999999902,1.9642999999999944
3511,11.0,data11,Crime,E08000012,Liverpool,89.47286,88.8222,87.92142,87.65344,89.0836,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.38925999999999306,1.4301600000000008
3525,11.0,data11,Crime,E08000013,St. Helens,98.38568,95.23418,94.7672,95.20132,95.64269,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-2.742989999999992,0.44137000000000626
3539,11.0,data11,Crime,E08000014,Sefton,99.87966,99.25757,97.11252,98.18217,98.6724,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-1.207260000000005,0.49022999999999683
3553,11.0,data11,Crime,E08000015,Wirral,98.46068,98.39327,98.6284,98.22365,99.52721,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.0665300000000002,1.3035599999999903
3567,11.0,data11,Crime,E08000016,Barnsley,99.28297,93.75962,90.68965,92.78582,95.27461,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-4.00836000000001,2.4887899999999945
3581,11.0,data11,Crime,E08000017,Doncaster,88.84816,85.22709,84.28356,84.65789,87.60942,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-1.2387399999999928,2.9515300000000053
3595,11.0,data11,Crime,E08000018,Rotherham,95.59992,93.77696,91.90334,92.3471,92.58974,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-3.010179999999991,0.24264000000000863
3609,11.0,data11,Crime,E08000019,Sheffield,93.66647,91.42475,90.00811,92.84888,91.58798,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-2.078490000000002,-1.2608999999999924
3623,11.0,data11,Crime,E08000021,Newcastle upon Tyne,84.97765,81.12392,78.50275,79.06324,83.65671,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-1.3209399999999931,4.593470000000011
3637,11.0,data11,Crime,E08000022,North Tyneside,102.4106,93.28634,91.61032,89.89958,91.08624,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-11.324359999999999,1.1866600000000034
3651,11.0,data11,Crime,E08000023,South Tyneside,97.68627,93.94386,90.83365,89.18505,92.78951,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-4.896759999999986,3.604460000000003
3665,11.0,data11,Crime,E08000024,Sunderland,95.5278,91.59849,86.21891,86.43956,87.15532,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-8.372479999999996,0.7157600000000031
3679,11.0,data11,Crime,E08000025,Birmingham,96.11172,93.32292,92.5675,91.95204,93.90249,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-2.209230000000005,1.9504500000000036
3693,11.0,data11,Crime,E08000026,Coventry,98.51822,96.42558,95.53673,94.71192,97.91929,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-0.5989299999999957,3.2073699999999974
3707,11.0,data11,Crime,E08000027,Dudley,101.1481,99.12158,97.10705,96.81783,99.22128,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-1.9268200000000064,2.4034499999999923
3721,11.0,data11,Crime,E08000028,Sandwell,99.65645,96.55154,93.43318,93.48605,97.01048,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-2.6459700000000055,3.5244299999999953
3735,11.0,data11,Crime,E08000029,Solihull,99.53376,96.35803,95.25358,95.43348,97.24124,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-2.292519999999996,1.8077600000000018
3749,11.0,data11,Crime,E08000030,Walsall,96.34387,96.80898,94.844,94.62396,96.77399,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,0.4301200000000023,2.150030000000001
3763,11.0,data11,Crime,E08000031,Wolverhampton,94.60041,92.87628,91.21967,90.05285,93.04102,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-1.5593899999999934,2.9881699999999967
3777,11.0,data11,Crime,E08000032,Bradford,90.33607,87.82839,86.72029,86.69798,88.09095,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-2.24512,1.3929700000000054
3791,11.0,data11,Crime,E08000033,Calderdale,96.20056,93.14912,90.89998,89.86991,91.52711,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-4.6734500000000025,1.657199999999989
