,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
539,7.0,data7,Children and young people,E06000041,Wokingham,117.5861,121.6973,122.5619,122.9768,122.4554,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,4.8692999999999955,-0.5213999999999999
553,7.0,data7,Children and young people,E06000042,Milton Keynes,98.70699,103.2396,105.3656,104.4493,107.2867,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,8.579709999999992,2.8374000000000024
567,7.0,data7,Children and young people,E06000043,Brighton and Hove,98.36776,102.4103,104.6768,107.0644,108.322,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,9.954239999999999,1.2575999999999965
581,7.0,data7,Children and young people,E06000044,Portsmouth,88.42552,92.86735,94.32356,95.3061,91.55691,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,3.131389999999996,-3.7491899999999987
595,7.0,data7,Children and young people,E06000045,Southampton,89.61448,95.43666,93.5446,97.4508,97.31112,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,7.696640000000002,-0.13967999999999847
609,7.0,data7,Children and young people,E06000046,Isle of Wight,98.16876,96.6851,99.85671,98.90361,101.0325,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.863739999999993,2.1288899999999984
623,7.0,data7,Children and young people,E06000047,County Durham,93.33864,99.50985,99.51791,99.01647,100.6938,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,7.355159999999998,1.6773299999999978
637,7.0,data7,Children and young people,E06000049,Cheshire East,106.3119,109.5141,110.5722,112.2395,113.9641,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,7.652200000000008,1.7245999999999952
651,7.0,data7,Children and young people,E06000050,Cheshire West and Chester,102.6124,105.3345,103.361,104.413,105.745,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,3.1326000000000107,1.3320000000000078
665,7.0,data7,Children and young people,E06000051,Shropshire,103.9091,107.4568,108.5125,106.2636,109.308,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,5.398900000000012,3.04440000000001
679,7.0,data7,Children and young people,E06000052,Cornwall,98.59039,103.5313,102.2342,102.0316,104.6731,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,6.082710000000006,2.6415000000000077
693,7.0,data7,Children and young people,E06000054,Wiltshire,104.1912,107.8697,110.7186,110.6523,111.6273,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,7.43610000000001,0.9750000000000085
707,7.0,data7,Children and young people,E06000055,Bedford,97.24796,103.067,100.6303,101.2972,103.7785,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,6.530539999999988,2.4812999999999903
721,7.0,data7,Children and young people,E06000056,Central Bedfordshire,101.422,106.2509,107.4639,108.2119,107.8482,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,6.426200000000009,-0.36369999999999436
735,7.0,data7,Children and young people,E06000057,Northumberland,98.70272,103.0188,102.6939,104.1738,106.9602,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,8.257480000000001,2.7864000000000004
749,7.0,data7,Children and young people,E06000058,"Bournemouth, Christchurch and Poole",103.7263,105.4191,106.0242,108.9254,109.6215,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,5.895200000000003,0.6961000000000013
763,7.0,data7,Children and young people,E06000059,Dorset,104.6818,107.5891,107.2204,108.3048,108.0808,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,3.399000000000001,-0.22400000000000375
777,7.0,data7,Children and young people,E06000060,Buckinghamshire,107.5343,111.228,111.5529,112.4742,114.0024,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,6.468099999999993,1.5281999999999982
791,7.0,data7,Children and young people,E06000061,North Northamptonshire,94.18853,98.59313,99.57193,101.872,103.7819,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,9.593369999999993,1.9098999999999933
805,7.0,data7,Children and young people,E06000062,West Northamptonshire,99.45272,102.9343,105.2941,106.6903,107.1574,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,7.704679999999996,0.46710000000000207
819,7.0,data7,Children and young people,E07000008,Cambridge,102.1829,105.7393,110.0311,107.1956,111.1557,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,8.972799999999992,3.960099999999997
833,7.0,data7,Children and young people,E07000009,East Cambridgeshire,104.7613,112.2589,111.775,118.6989,114.244,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,9.482699999999994,-4.454899999999995
847,7.0,data7,Children and young people,E07000010,Fenland,88.48824,97.07256,93.09271,94.25803,95.95673,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,7.4684899999999885,1.698699999999988
861,7.0,data7,Children and young people,E07000011,Huntingdonshire,104.0713,109.2018,110.6142,110.3151,108.7427,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,4.6714000000000055,-1.5724000000000018
