,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
1214,10.0,data10,Access to services,E07000062,Hastings,105.6455,105.6455,105.6925,105.3006,107.7924,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.1469000000000023,2.491799999999998
1228,10.0,data10,Access to services,E07000063,Lewes,96.5115,96.39677,96.19543,95.76646,96.15415,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.3573499999999967,0.3876900000000063
1242,10.0,data10,Access to services,E07000064,Rother,91.73164,91.73164,91.56626,91.54064,92.19383,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.46219000000000676,0.6531900000000093
1256,10.0,data10,Access to services,E07000065,Wealden,90.14697,90.34637,90.21239,90.02713,90.58164,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.434669999999997,0.5545099999999934
1270,10.0,data10,Access to services,E07000066,Basildon,98.28065,98.55073,98.5171,98.62069,99.51124,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,1.2305900000000065,0.8905500000000046
1284,10.0,data10,Access to services,E07000067,Braintree,87.57868,87.70239,87.68764,87.67836,88.51166,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.9329800000000006,0.8333000000000084
1298,10.0,data10,Access to services,E07000068,Brentwood,95.24098,95.24098,95.34045,95.34045,97.21511,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,1.9741300000000024,1.8746599999999916
1312,10.0,data10,Access to services,E07000069,Castle Point,102.9827,102.9827,102.768,102.768,103.5821,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.5994000000000028,0.8140999999999963
1326,10.0,data10,Access to services,E07000070,Chelmsford,95.79205,95.74447,95.57136,95.70123,96.30873,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.5166799999999938,0.6075000000000017
1340,10.0,data10,Access to services,E07000071,Colchester,96.10231,96.07087,95.89849,95.83431,95.40768,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.6946300000000036,-0.42663000000000295
1354,10.0,data10,Access to services,E07000072,Epping Forest,93.24361,93.24361,93.07241,93.074,93.12013,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.1234800000000007,0.04613000000000511
1368,10.0,data10,Access to services,E07000073,Harlow,100.6468,100.6468,100.5879,100.3419,101.569,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.9222000000000037,1.2271000000000072
1382,10.0,data10,Access to services,E07000074,Maldon,86.11718,86.11718,86.12043,86.34826,87.6584,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,1.5412199999999956,1.310140000000004
1396,10.0,data10,Access to services,E07000075,Rochford,97.77403,97.78218,97.98763,97.98763,98.54439,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.7703600000000108,0.5567600000000112
1410,10.0,data10,Access to services,E07000076,Tendring,93.86488,93.86488,93.90706,93.8643,94.22372,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.3588400000000007,0.3594200000000001
1424,10.0,data10,Access to services,E07000077,Uttlesford,79.83588,79.83588,79.33145,78.99687,80.23983,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,0.4039499999999947,1.2429599999999965
1438,10.0,data10,Access to services,E07000078,Cheltenham,103.9607,104.3726,103.7542,103.864,104.0221,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.061399999999991905,0.15809999999999036
1452,10.0,data10,Access to services,E07000079,Cotswold,77.42345,77.42841,77.7442,77.7442,77.92576,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.5023099999999943,0.1815599999999904
1466,10.0,data10,Access to services,E07000080,Forest of Dean,83.38523,83.40071,83.35593,83.09538,83.24189,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.14334000000000913,0.14650999999999215
1480,10.0,data10,Access to services,E07000081,Gloucester,100.0423,99.77884,99.91222,99.72059,102.0166,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,1.9742999999999995,2.2960099999999954
1494,10.0,data10,Access to services,E07000082,Stroud,90.23522,89.95125,89.75801,90.24064,90.40913,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.17391000000000645,0.16849000000000558
1508,10.0,data10,Access to services,E07000083,Tewkesbury,88.27379,88.55465,88.5372,88.60114,89.56697,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,1.2931799999999924,0.9658299999999969
1522,10.0,data10,Access to services,E07000084,Basingstoke and Deane,87.11904,86.85894,86.86039,86.23028,87.13137,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.012330000000005725,0.9010900000000106
1536,10.0,data10,Access to services,E07000085,East Hampshire,88.19588,88.00038,87.84316,87.46818,89.32103,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,1.1251499999999908,1.8528499999999894
1550,10.0,data10,Access to services,E07000086,Eastleigh,98.05341,97.65938,97.65222,97.46809,98.26753,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.2141199999999941,0.7994399999999899
1564,10.0,data10,Access to services,E07000087,Fareham,95.05837,95.05837,95.06742,95.18007,95.74175,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.6833799999999997,0.5616799999999955
1578,10.0,data10,Access to services,E07000088,Gosport,106.5895,106.5895,106.8614,106.8614,106.2998,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.2896999999999963,-0.5615999999999985
1592,10.0,data10,Access to services,E07000089,Hart,93.13613,93.13613,93.14249,92.6299,93.23858,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.10245000000000459,0.6086799999999926
