,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
439,5.0,data5,Behavioural risk factors,E06000034,Thurrock,87.38459,88.41342,93.10898,92.46393,88.53212,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,1.1475300000000033,-3.9318099999999987
453,5.0,data5,Behavioural risk factors,E06000035,Medway,98.65614,100.364,99.57257,97.71086,98.7775,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.1213600000000099,1.0666400000000067
467,5.0,data5,Behavioural risk factors,E06000036,Bracknell Forest,104.4545,106.6841,110.361,111.5396,108.7511,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,4.296599999999998,-2.788499999999999
481,5.0,data5,Behavioural risk factors,E06000037,West Berkshire,107.4524,109.5527,107.8902,105.1104,109.8306,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.3782000000000068,4.7202000000000055
495,5.0,data5,Behavioural risk factors,E06000038,Reading,97.57413,100.5144,102.4274,99.00093,98.57964,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,1.005510000000001,-0.42128999999999905
509,5.0,data5,Behavioural risk factors,E06000039,Slough,88.84562,85.86655,84.03461,81.9106,82.49215,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-6.3534700000000015,0.5815499999999929
523,5.0,data5,Behavioural risk factors,E06000040,Windsor and Maidenhead,110.0258,111.28,109.3607,108.9221,108.0409,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-1.9849000000000103,-0.8812000000000069
537,5.0,data5,Behavioural risk factors,E06000041,Wokingham,113.4386,111.7722,116.6292,115.7958,115.8053,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.3667000000000087,0.009500000000002728
551,5.0,data5,Behavioural risk factors,E06000042,Milton Keynes,99.79919,101.0159,102.1926,102.8833,96.72112,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-3.0780699999999968,-6.162180000000006
565,5.0,data5,Behavioural risk factors,E06000043,Brighton and Hove,109.8567,111.4358,111.9305,109.8729,111.1593,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,1.3025999999999982,1.2864000000000004
579,5.0,data5,Behavioural risk factors,E06000044,Portsmouth,95.95465,96.47485,101.3493,96.12243,98.86186,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.907209999999992,2.7394299999999987
593,5.0,data5,Behavioural risk factors,E06000045,Southampton,96.34801,96.29652,97.01116,96.70764,90.35981,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-5.988200000000006,-6.347830000000002
607,5.0,data5,Behavioural risk factors,E06000046,Isle of Wight,103.9749,104.9526,110.667,108.844,105.2593,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,1.2843999999999909,-3.584699999999998
621,5.0,data5,Behavioural risk factors,E06000047,County Durham,97.30908,99.92595,97.36269,95.13963,96.82847,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.48060999999999865,1.688839999999999
635,5.0,data5,Behavioural risk factors,E06000049,Cheshire East,104.202,104.1658,106.9585,108.7097,104.0703,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.13169999999999504,-4.639399999999995
649,5.0,data5,Behavioural risk factors,E06000050,Cheshire West and Chester,99.66841,103.3102,103.2808,103.221,106.8112,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,7.142790000000005,3.590199999999996
663,5.0,data5,Behavioural risk factors,E06000051,Shropshire,110.2691,108.3482,108.9101,106.7158,104.7321,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-5.536999999999992,-1.983699999999999
677,5.0,data5,Behavioural risk factors,E06000052,Cornwall,105.4667,106.5151,106.1925,109.035,109.2504,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,3.783699999999996,0.21540000000000248
691,5.0,data5,Behavioural risk factors,E06000054,Wiltshire,112.673,110.7379,109.3057,111.9939,109.4509,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-3.2220999999999975,-2.542999999999992
705,5.0,data5,Behavioural risk factors,E06000055,Bedford,99.92723,100.3513,99.3256,95.56635,101.4191,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,1.4918700000000058,5.85275
719,5.0,data5,Behavioural risk factors,E06000056,Central Bedfordshire,104.1172,107.3415,105.6685,101.8371,103.0735,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-1.0437000000000012,1.236399999999989
733,5.0,data5,Behavioural risk factors,E06000057,Northumberland,99.34097,100.4037,103.1845,104.8623,104.1812,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,4.840230000000005,-0.6811000000000007
747,5.0,data5,Behavioural risk factors,E06000058,"Bournemouth, Christchurch and Poole",99.52236,102.9531,107.9243,105.4202,99.94885,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.42648999999998694,-5.471350000000001
761,5.0,data5,Behavioural risk factors,E06000059,Dorset,108.1543,108.2011,109.8839,110.9775,113.0945,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,4.94019999999999,2.1169999999999902
775,5.0,data5,Behavioural risk factors,E06000060,Buckinghamshire,108.4274,109.906,109.7794,110.7489,110.5699,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,2.1424999999999983,-0.17900000000000205
789,5.0,data5,Behavioural risk factors,E06000061,North Northamptonshire,97.65166,99.86662,98.37848,96.95254,100.0744,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,2.4227399999999903,3.121859999999998
803,5.0,data5,Behavioural risk factors,E06000062,West Northamptonshire,100.1345,101.0119,99.14912,101.536,100.3925,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,0.25799999999999557,-1.143500000000003
817,5.0,data5,Behavioural risk factors,E07000008,Cambridge,110.6325,111.6831,113.5929,114.7156,107.952,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-2.680499999999995,-6.763599999999997
831,5.0,data5,Behavioural risk factors,E07000009,East Cambridgeshire,100.145,101.5517,102.7827,109.1093,107.7801,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,7.635100000000008,-1.3292000000000002
845,5.0,data5,Behavioural risk factors,E07000010,Fenland,95.5049,96.44703,92.92899,93.82984,90.49767,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-5.007230000000007,-3.332170000000005
859,5.0,data5,Behavioural risk factors,E07000011,Huntingdonshire,100.5295,105.798,109.156,101.0603,104.0255,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,3.495999999999995,2.965199999999996
873,5.0,data5,Behavioural risk factors,E07000012,South Cambridgeshire,116.415,116.8452,111.6507,111.5318,111.9011,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-4.513900000000007,0.3692999999999955
887,5.0,data5,Behavioural risk factors,E07000026,Allerdale,107.1825,106.4002,107.0139,104.5857,106.2961,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.886400000000009,1.7103999999999928
901,5.0,data5,Behavioural risk factors,E07000027,Barrow-in-Furness,85.06782,90.08267,93.11877,93.15721,93.69389,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,8.626069999999999,0.5366799999999898
915,5.0,data5,Behavioural risk factors,E07000028,Carlisle,105.1327,104.5031,103.1094,98.29706,92.5315,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-12.601200000000006,-5.765560000000008
929,5.0,data5,Behavioural risk factors,E07000029,Copeland,96.68623,99.32662,97.97434,100.6031,99.74316,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,3.0569300000000084,-0.8599399999999946
