,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
1865,3.0,data3,Personal well-being,E07000113,Swale,98.24041,102.0808,105.6884,98.32357,98.9742,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.733789999999999,0.6506299999999925
1879,3.0,data3,Personal well-being,E07000114,Thanet,97.46492,106.3492,105.0468,88.02317,75.66498,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-21.799940000000007,-12.358189999999993
1893,3.0,data3,Personal well-being,E07000115,Tonbridge and Malling,114.7229,112.1662,113.5292,119.1264,97.1631,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-17.559799999999996,-21.963300000000004
1907,3.0,data3,Personal well-being,E07000116,Tunbridge Wells,108.4581,102.2551,111.0713,101.9088,98.54967,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-9.908429999999996,-3.3591299999999933
1921,3.0,data3,Personal well-being,E07000117,Burnley,74.98994,111.6611,96.56887,86.30814,103.8796,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,28.889659999999992,17.571460000000002
1935,3.0,data3,Personal well-being,E07000118,Chorley,101.9125,107.7754,109.8324,115.8659,108.6725,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,6.760000000000005,-7.193399999999997
1949,3.0,data3,Personal well-being,E07000119,Fylde,116.8167,112.0533,114.7474,131.4803,133.2073,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,16.390600000000006,1.7270000000000039
1963,3.0,data3,Personal well-being,E07000120,Hyndburn,90.98145,103.6987,106.2725,110.2614,86.31268,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-4.668769999999995,-23.948719999999994
1977,3.0,data3,Personal well-being,E07000121,Lancaster,96.15876,91.56513,101.5264,102.0314,89.46291,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-6.695850000000007,-12.568490000000011
1991,3.0,data3,Personal well-being,E07000122,Pendle,107.8999,104.4688,92.29121,92.00095,124.0486,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,16.14869999999999,32.04764999999999
2005,3.0,data3,Personal well-being,E07000123,Preston,77.39119,90.4691,101.313,118.4535,106.3456,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,28.95441000000001,-12.1079
2019,3.0,data3,Personal well-being,E07000124,Ribble Valley,90.244,110.1611,127.8233,129.2447,114.9414,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,24.697400000000002,-14.303299999999993
2033,3.0,data3,Personal well-being,E07000125,Rossendale,110.1566,99.78647,110.5517,108.3195,87.67841,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-22.478189999999998,-20.641090000000005
2047,3.0,data3,Personal well-being,E07000126,South Ribble,108.1251,106.0852,111.0889,93.36199,97.06475,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-11.06035,3.702759999999998
2061,3.0,data3,Personal well-being,E07000127,West Lancashire,81.94372,96.83993,102.6136,106.2393,97.84868,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,15.904960000000003,-8.390619999999998
2075,3.0,data3,Personal well-being,E07000128,Wyre,97.34129,107.4452,105.6598,107.6103,104.6806,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,7.339309999999998,-2.929699999999997
2089,3.0,data3,Personal well-being,E07000129,Blaby,99.31529,104.7737,120.4831,105.5664,97.74604,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-1.569250000000011,-7.820360000000008
2103,3.0,data3,Personal well-being,E07000130,Charnwood,109.3604,104.0657,112.683,117.3144,114.8499,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,5.489500000000007,-2.464500000000001
2117,3.0,data3,Personal well-being,E07000131,Harborough,108.6019,118.9456,108.264,100.1989,94.68494,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-13.916960000000003,-5.513959999999997
2131,3.0,data3,Personal well-being,E07000132,Hinckley and Bosworth,108.7524,108.1363,101.7538,99.64923,92.25284,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-16.49955999999999,-7.396389999999997
2145,3.0,data3,Personal well-being,E07000133,Melton,107.691,106.5387,101.1701,99.39366,130.371,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,22.680000000000007,30.977340000000012
2159,3.0,data3,Personal well-being,E07000134,North West Leicestershire,109.3931,105.7884,99.44547,122.1382,104.5606,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-4.83250000000001,-17.577600000000004
2173,3.0,data3,Personal well-being,E07000135,Oadby and Wigston,118.9722,120.6666,100.7906,106.5641,95.75017,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-23.222030000000004,-10.81393
2187,3.0,data3,Personal well-being,E07000136,Boston,93.80249,104.0638,92.15587,118.3028,107.2478,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,13.445309999999992,-11.055000000000007
2201,3.0,data3,Personal well-being,E07000137,East Lindsey,105.7189,117.6328,100.3144,107.5402,111.1521,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,5.433199999999999,3.6119000000000057
2215,3.0,data3,Personal well-being,E07000138,Lincoln,109.0972,96.11018,114.869,84.77081,79.10823,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-29.988969999999995,-5.662579999999991
2229,3.0,data3,Personal well-being,E07000139,North Kesteven,124.9213,111.9265,113.7008,99.29261,115.4938,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-9.427500000000009,16.201189999999997
2243,3.0,data3,Personal well-being,E07000140,South Holland,104.5673,91.62575,82.26376,107.2966,106.0716,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.5043000000000006,-1.2249999999999943
2257,3.0,data3,Personal well-being,E07000141,South Kesteven,102.7846,108.8088,109.0623,107.2158,106.9546,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,4.170000000000002,-0.2612000000000023
2271,3.0,data3,Personal well-being,E07000142,West Lindsey,107.8891,116.2856,116.6732,115.9275,113.1772,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,5.2881,-2.7502999999999957
2285,3.0,data3,Personal well-being,E07000143,Breckland,112.3472,104.9561,113.3085,93.90971,97.91732,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-14.429879999999997,4.00761
2299,3.0,data3,Personal well-being,E07000144,Broadland,108.2242,94.83477,116.8275,111.088,93.32895,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-14.89524999999999,-17.759049999999988
2313,3.0,data3,Personal well-being,E07000145,Great Yarmouth,106.6614,95.44833,93.21805,115.2957,100.9611,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-5.700299999999999,-14.334599999999995
2327,3.0,data3,Personal well-being,E07000146,King's Lynn and West Norfolk,113.5645,96.60953,119.567,110.5815,105.3144,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-8.250099999999989,-5.267099999999999
2341,3.0,data3,Personal well-being,E07000147,North Norfolk,95.45061,106.4419,109.3745,116.0097,114.4597,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,19.00909,-1.5499999999999972
2355,3.0,data3,Personal well-being,E07000148,Norwich,94.90827,106.9174,89.90371,89.54668,85.88874,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-9.019530000000003,-3.6579399999999964
2369,3.0,data3,Personal well-being,E07000149,South Norfolk,102.9184,115.6428,108.037,102.2262,105.3683,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,2.4498999999999995,3.1420999999999992
2383,3.0,data3,Personal well-being,E07000163,Craven,113.6028,137.8979,108.4749,115.8816,122.4308,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,8.828000000000003,6.549199999999999
2397,3.0,data3,Personal well-being,E07000164,Hambleton,120.0509,110.0254,113.4719,129.258,90.11421,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-29.93669,-39.14379000000001
2411,3.0,data3,Personal well-being,E07000165,Harrogate,105.454,109.3679,113.1455,103.2509,101.9814,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-3.4726,-1.2695000000000078
2425,3.0,data3,Personal well-being,E07000166,Richmondshire,116.5712,135.1992,112.1394,89.07969,120.2436,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,3.672399999999996,31.16391
